x1 x2 true_label anomaly_score prediction
1.5415 1.1898 0 0.0056 0
0.7206 -1.6844 0 0.1160 0
0.5427 -0.9876 0 0.0293 0
-0.0345 -1.2837 0 0.0394 0
-0.6017 1.3190 0 0.0172 0
-0.3140 -1.1229 0 0.0361 0
-0.5823 -0.4475 0 0.0002 0
-0.6151 0.6100 0 0.0051 0
1.3139 -0.1277 0 0.0273 0
-0.3979 0.3517 0 0.0013 0
-0.6065 0.8627 0 0.0085 0
0.6406 1.3445 0 0.0020 0
1.0233 1.0371 0 0.0020 0
0.4884 1.0678 0 0.0016 0
-0.1853 0.0334 0 0.0001 0
-0.2013 0.6879 0 0.0024 0
-1.1077 -0.6970 0 0.0021 0
-0.1787 1.3739 0 0.0116 0
0.2551 -0.3396 0 0.0087 0
0.2446 -0.6197 0 0.0133 0
-1.2461 0.7965 0 0.0172 0
-0.7038 -0.4809 0 0.0005 0
-1.0193 1.6982 0 0.0370 0
-0.9877 -0.3903 0 0.0015 0
-0.7311 -0.5265 0 0.0001 0
0.0624 0.4206 0 0.0001 0
-0.3904 0.9531 0 0.0073 0
-0.6512 -0.5888 0 0.0002 0
-1.1226 0.0288 0 0.0040 0
-0.0508 0.5405 0 0.0007 0
-0.0782 1.4757 0 0.0122 0
-0.9476 1.1068 0 0.0187 0
1.1561 0.6851 0 0.0071 0
1.7745 0.4185 0 0.0252 0
0.2773 -0.1579 0 0.0064 0
-0.8437 1.0224 0 0.0149 0
-0.1378 0.4190 0 0.0005 0
0.0453 0.3410 0 0.0000 0
0.4600 -0.5134 0 0.0156 0
-1.7651 -0.6006 0 0.0051 0
0.0087 -0.2710 0 0.0094 0
-1.0725 -0.4683 0 0.0017 0
0.4290 0.4197 0 0.0021 0
0.9130 0.0413 0 0.0137 0
0.5952 -0.3853 0 0.0158 0
-0.8396 0.4831 0 0.0059 0
-1.3778 -0.6622 0 0.0026 0
1.0678 0.3868 0 0.0103 0
-2.0076 0.3904 0 0.0233 0
0.6277 0.0229 0 0.0089 0
0.5126 0.4666 0 0.0024 0
0.8535 -0.3601 0 0.0211 0
-0.1482 0.6022 0 0.0015 0
0.3238 0.1428 0 0.0035 0
0.2119 1.0185 0 0.0011 0
-0.0010 -0.2429 0 0.0080 0
-1.1656 -0.0819 0 0.0036 0
-0.4793 0.3816 0 0.0019 0
0.5809 0.0729 0 0.0075 0
-0.3113 0.4223 0 0.0012 0
-0.0101 0.1927 0 0.0000 0
0.1060 0.6114 0 0.0005 0
0.8760 0.2719 0 0.0090 0
0.5760 0.3291 0 0.0042 0
1.5449 0.8095 0 0.0114 0
-1.1491 -0.9039 0 0.0018 0
-0.1088 1.3083 0 0.0095 0
0.5238 0.4608 0 0.0025 0
0.9132 0.0149 0 0.0142 0
-1.4446 0.7403 0 0.0198 0
-0.3003 0.8265 0 0.0046 0
-0.5493 0.5095 0 0.0034 0
-0.7781 0.7668 0 0.0092 0
1.2954 1.1605 0 0.0032 0
0.2156 -0.1683 0 0.0119 0
-0.5862 0.0834 0 0.0009 0
0.2790 0.7741 0 0.0001 0
-0.3726 1.2838 0 0.0127 0
-1.9841 -0.3340 0 0.0099 0
-0.9564 0.6499 0 0.0098 0
-1.5204 0.1829 0 0.0105 0
0.0199 -0.2768 0 0.0102 0
0.2295 -0.5847 0 0.0124 0
0.1399 -0.8751 0 0.0286 0
-1.2817 1.0823 0 0.0249 0
1.0311 0.0418 0 0.0161 0
-1.2375 0.6054 0 0.0132 0
0.6204 1.6212 0 0.0098 0
0.0287 0.0965 0 0.0008 0
-0.6445 -0.1661 0 0.0007 0
-0.7456 -1.2728 0 0.0141 0
-0.9088 -0.4181 0 0.0013 0
-0.4150 -1.2010 0 0.0330 0
-1.5413 0.1023 0 0.0096 0
0.8183 -0.4446 0 0.0223 0
0.5634 0.5679 0 0.0020 0
1.4195 -0.7372 0 0.0506 0
0.7700 -0.2696 0 0.0171 0
-0.9403 0.2864 0 0.0048 0
0.3830 1.0830 0 0.0003 0
0.4208 1.6896 0 0.0013 0
-0.4166 -0.7456 0 0.0083 0
0.1481 0.8550 0 0.0017 0
1.0452 0.3679 0 0.0102 0
-0.6517 -0.8170 0 0.0026 0
-0.3959 -0.4738 0 0.0018 0
0.1235 0.3526 0 0.0000 0
-0.1186 -1.8548 0 0.0545 0
-0.3184 0.8644 0 0.0053 0
-1.4247 1.2064 0 0.0317 0
0.2475 -0.4002 0 0.0095 0
0.8280 1.3517 0 0.0003 0
-0.0036 1.3334 0 0.0086 0
0.1231 -0.8482 0 0.0257 0
-0.4581 0.0669 0 0.0005 0
0.3199 1.5914 0 0.0022 0
-0.0576 -0.7249 0 0.0294 0
-1.6390 -0.8648 0 0.0036 0
0.0141 0.0626 0 0.0010 0
0.1545 0.3277 0 0.0002 0
-0.7433 0.2210 0 0.0025 0
-0.4311 0.3701 0 0.0015 0
-0.6975 -0.0217 0 0.0011 0
-0.2826 1.1711 0 0.0094 0
1.0043 -0.5720 0 0.0309 0
0.6831 0.4104 0 0.0045 0
0.4318 0.4524 0 0.0019 0
0.4046 0.1780 0 0.0040 0
-0.5484 0.4508 0 0.0029 0
-1.2057 -1.2885 0 0.0005 0
-1.1832 0.3458 0 0.0082 0
-0.1000 0.6257 0 0.0014 0
-1.2790 -0.0873 0 0.0045 0
0.5722 0.0313 0 0.0080 0
1.0447 0.1973 0 0.0133 0
-1.5821 0.0143 0 0.0089 0
-1.1034 0.5006 0 0.0094 0
-2.0680 -0.0192 0 0.0159 0
-0.0978 -0.5976 0 0.0187 0
1.3674 0.0463 0 0.0241 0
0.9544 1.5498 0 0.0005 0
0.5830 0.7847 0 0.0005 0
0.3317 0.9253 0 0.0002 0
0.2152 -0.0293 0 0.0096 0
0.7786 -0.8121 0 0.0312 0
-0.4335 -0.3528 0 0.0002 0
-0.2509 -0.1034 0 0.0000 0
-0.5720 -0.0380 0 0.0006 0
1.6166 0.2031 0 0.0267 0
0.7492 0.5698 0 0.0036 0
-0.0254 0.0813 0 0.0004 0
1.0746 0.5706 0 0.0075 0
0.3230 -0.5712 0 0.0139 0
0.6670 -0.7668 0 0.0267 0
0.3629 0.9969 0 0.0002 0
-1.8452 -1.0295 0 0.0045 0
0.1439 -1.7014 0 0.0125 0
-0.1073 -0.8326 0 0.0328 0
-0.6118 -0.0442 0 0.0007 0
0.9639 -0.7860 0 0.0362 0
0.3468 -0.5738 0 0.0145 0
0.8443 -1.1627 0 0.0447 0
0.3721 0.2971 0 0.0026 0
-0.0037 0.0636 0 0.0008 0
0.3025 0.5641 0 0.0002 0
-1.3790 -0.6748 0 0.0026 0
0.3481 0.2127 0 0.0031 0
-0.4697 0.0662 0 0.0005 0
0.7083 0.1460 0 0.0083 0
0.6291 -0.0463 0 0.0101 0
0.4533 -0.5678 0 0.0166 0
-0.3900 0.0401 0 0.0003 0
0.4867 1.3047 0 0.0019 0
-0.0678 0.8675 0 0.0031 0
0.7582 -0.5413 0 0.0232 0
-0.4584 -0.2643 0 0.0000 0
-0.6352 0.3002 0 0.0023 0
0.0703 -0.9932 0 0.0296 0
-0.2562 -0.6755 0 0.0132 0
-0.4411 1.5912 0 0.0208 0
1.5202 1.3561 0 0.0035 0
0.0225 -0.1403 0 0.0055 0
-1.4188 -0.5637 0 0.0030 0
-0.3157 1.5094 0 0.0166 0
-0.1748 0.1330 0 0.0001 0
1.7153 1.3637 0 0.0056 0
0.2767 0.5140 0 0.0001 0
-0.1632 0.5483 0 0.0012 0
-0.1118 -0.9446 0 0.0408 0
-1.0263 0.3588 0 0.0065 0
-0.4726 0.6833 0 0.0046 0
-0.3921 -0.2876 0 0.0001 0
0.5331 -0.0594 0 0.0087 0
-0.1677 0.1331 0 0.0001 0
1.1762 -0.7513 0 0.0422 0
-0.4811 -0.0797 0 0.0004 0
-0.7881 -1.9908 0 0.0581 0
-0.2651 0.6749 0 0.0028 0
0.7900 -0.2656 0 0.0175 0
-0.6461 0.6595 0 0.0061 0
0.0198 -0.8513 0 0.0329 0
-0.6082 -0.3260 0 0.0009 0
0.7699 -0.1141 0 0.0139 0
0.1222 -0.0310 0 0.0058 0
0.7557 -1.2659 0 0.0483 0
0.7897 0.9165 0 0.0012 0
-0.1134 -0.2211 0 0.0034 0
-0.1546 0.6214 0 0.0016 0
0.5471 -1.0597 0 0.0316 0
-0.4129 0.4801 0 0.0022 0
-0.3762 -0.4869 0 0.0025 0
-0.0370 -1.3166 0 0.0405 0
-0.3867 -0.5922 0 0.0046 0
0.2514 0.1132 0 0.0075 0
0.8279 -0.5012 0 0.0240 0
-0.4121 0.5522 0 0.0028 0
-0.3952 0.9093 0 0.0067 0
-0.3695 1.1360 0 0.0099 0
0.6788 -0.0383 0 0.0108 0
0.5348 0.8344 0 0.0002 0
0.5519 -1.0503 0 0.0314 0
0.0302 -0.9362 0 0.0301 0
-0.0825 0.9516 0 0.0041 0
0.6086 -0.5970 0 0.0208 0
-1.1071 0.3895 0 0.0079 0
-0.8016 0.0264 0 0.0017 0
-0.3434 -0.7854 0 0.0135 0
-0.5136 0.6613 0 0.0047 0
1.2731 -0.0967 0 0.0253 0
-0.3864 0.0906 0 0.0004 0
0.0617 -0.7383 0 0.0279 0
-1.0096 0.8688 0 0.0146 0
0.8773 -0.5470 0 0.0266 0
0.0528 -0.0006 0 0.0029 0
0.1296 0.9568 0 0.0026 0
-1.0449 -1.1232 0 0.0006 0
-0.8478 0.2446 0 0.0035 0
0.3320 -0.5739 0 0.0142 0
2.2672 1.5628 0 0.0111 0
1.6389 -0.8704 0 0.0593 0
1.2974 0.6810 0 0.0093 0
-0.3204 -0.4871 0 0.0039 0
-0.4065 -0.4948 0 0.0020 0
-1.3176 -0.8290 0 0.0027 0
-0.3602 -0.0584 0 0.0003 0
-0.4384 -0.9140 0 0.0143 0
-0.3590 -0.0244 0 0.0003 0
0.3064 -0.0358 0 0.0053 0
0.9440 -0.2651 0 0.0211 0
0.5196 0.0760 0 0.0066 0
-0.6021 -0.5178 0 0.0001 0
-1.0258 1.5722 0 0.0331 0
-0.7711 -2.0534 0 0.0552 0
0.5677 0.6559 0 0.0015 0
0.4972 0.3385 0 0.0033 0
-0.2711 0.4144 0 0.0010 0
-1.0910 0.1544 0 0.0049 0
-0.4883 0.1306 0 0.0007 0
1.2081 0.1698 0 0.0172 0
-0.5802 -0.7622 0 0.0032 0
0.4174 -0.3711 0 0.0120 0
0.1459 -0.3093 0 0.0187 0
-1.4325 0.0746 0 0.0078 0
-1.5322 -0.5137 0 0.0038 0
1.0751 -1.0338 0 0.0486 0
0.6130 0.5163 0 0.0028 0
0.2827 -2.1180 0 0.0493 0
-1.1660 -0.7770 0 0.0024 0
0.2032 -0.1432 0 0.0130 0
0.9594 -0.3434 0 0.0234 0
0.8082 0.4888 0 0.0051 0
0.9767 -0.4861 0 0.0277 0
-1.3901 -0.1003 0 0.0054 0
-1.0927 0.8894 0 0.0165 0
-0.4982 -0.6313 0 0.0025 0
-0.1343 1.3147 0 0.0099 0
1.6057 -1.0025 0 0.0686 0
0.8951 1.4186 0 0.0006 0
-1.6573 -0.3300 0 0.0061 0
-0.7816 -0.0269 0 0.0014 0
1.4876 2.0977 0 0.0073 0
0.2952 0.3042 0 0.0049 0
0.1592 -0.1889 0 0.0135 0
0.2427 -0.3601 0 0.0088 0
0.3791 0.5203 0 0.0012 0
0.9330 0.0135 0 0.0146 0
0.4261 -0.4828 0 0.0143 0
-0.1394 0.4874 0 0.0008 0
-0.6426 -0.8967 0 0.0047 0
0.1565 -0.6252 0 0.0190 0
-1.4319 -0.2093 0 0.0049 0
-0.3522 1.7479 0 0.0231 0
-0.3841 -1.0297 0 0.0240 0
0.5911 0.0271 0 0.0083 0
-0.2498 -0.2033 0 0.0006 0
-0.9644 -0.7634 0 0.0002 0
0.0490 0.0682 0 0.0016 0
0.5985 -0.1308 0 0.0110 0
-0.7268 0.2504 0 0.0026 0
0.6440 -0.8907 0 0.0295 0
0.3985 -0.9600 0 0.0246 0
0.1017 0.3523 0 0.0000 0
0.5102 0.1278 0 0.0058 0
1.4158 0.5015 0 0.0147 0
-1.4989 1.8607 0 0.0571 0
-0.7363 0.5329 0 0.0054 0
-0.3522 -1.8544 0 0.0834 0
1.0357 0.1781 0 0.0135 0
-0.6787 1.3192 0 0.0186 0
1.2805 -0.0629 0 0.0246 0
0.3448 0.2947 0 0.0024 0
0.6110 0.9434 0 0.0003 0
-0.3310 0.4147 0 0.0013 0
-0.5612 -0.3459 0 0.0002 0
0.1132 0.0569 0 0.0032 0
0.4507 -0.4629 0 0.0144 0
-0.8670 -0.3111 0 0.0012 0
0.6501 1.1985 0 0.0003 0
0.0351 1.1555 0 0.0056 0
0.1856 0.4052 0 0.0000 0
-1.0230 -0.0307 0 0.0028 0
1.5310 0.2703 0 0.0226 0
0.1000 -0.6097 0 0.0242 0
-0.9524 0.6205 0 0.0093 0
0.3646 0.2003 0 0.0034 0
-1.0889 1.4415 0 0.0306 0
-0.0595 -0.1253 0 0.0027 0
-0.6967 -0.5129 0 0.0000 0
-0.3317 -0.5522 0 0.0053 0
-0.1840 -1.7378 0 0.0521 0
0.0701 0.8750 0 0.0023 0
-0.0942 -0.2389 0 0.0044 0
-0.7629 -0.0740 0 0.0012 0
-0.8133 -0.0061 0 0.0017 0
-0.4146 0.6716 0 0.0039 0
0.0468 -1.3346 0 0.0499 0
1.7037 -1.2145 0 0.0935 0
0.1110 -0.9438 0 0.0297 0
-0.4238 0.7700 0 0.0051 0
0.2236 -0.4575 0 0.0101 0
-2.2349 -0.5689 0 0.0105 0
0.4188 -1.3684 0 0.0371 0
0.6708 -0.2159 0 0.0139 0
0.0984 0.7006 0 0.0009 0
0.1211 0.5915 0 0.0004 0
0.2185 2.1850 0 0.0087 0
0.3456 -0.2473 0 0.0087 0
-0.0773 1.2335 0 0.0079 0
-0.0870 -0.3351 0 0.0076 0
1.1508 -0.5655 0 0.0353 0
-1.0016 2.4200 0 0.0645 0
1.0770 0.6845 0 0.0060 0
0.2576 0.3568 0 0.0019 0
1.2184 1.0244 0 0.0038 0
-0.0929 1.0964 0 0.0061 0
-0.3848 -0.7923 0 0.0117 0
-1.0913 0.0066 0 0.0036 0
-0.3247 -0.5689 0 0.0061 0
-0.2797 0.3038 0 0.0006 0
0.7994 1.0201 0 0.0004 0
0.7676 0.0828 0 0.0103 0
0.6632 1.6737 0 0.0091 0
0.6362 0.2234 0 0.0062 0
0.1492 0.2838 0 0.0004 0
0.0725 1.3938 0 0.0087 0
-1.0128 0.3113 0 0.0058 0
0.2743 -1.1673 0 0.0267 0
-1.1949 -0.1771 0 0.0032 0
0.1802 -0.0618 0 0.0092 0
0.7886 1.0227 0 0.0008 0
0.2305 0.6952 0 0.0002 0
-0.6478 -1.1439 0 0.0134 0
0.3672 0.4247 0 0.0016 0
-1.0892 1.5650 0 0.0344 0
1.4148 -0.7886 0 0.0524 0
-0.9897 -1.8415 0 0.0302 0
-0.0008 -0.6795 0 0.0309 0
-1.3275 0.2450 0 0.0087 0
