x1 x2 true_label pred_label
1.9269 1.4873 1 1
0.9007 -2.1055 0 0
0.6784 -1.2345 0 0
-0.0431 -1.6047 1 1
-0.7521 1.6487 0 0
-0.3925 -1.4036 1 1
-0.7279 -0.5594 1 1
-0.7688 0.7624 0 0
1.6423 -0.1596 0 0
-0.4974 0.4396 0 0
-0.7581 1.0783 0 0
0.8008 1.6806 1 1
1.2791 1.2964 1 1
0.6105 1.3347 1 1
-0.2316 0.0418 0 0
-0.2516 0.8599 0 0
-1.3847 -0.8712 1 1
-0.2234 1.7174 0 0
0.3189 -0.4245 0 0
0.3057 -0.7746 0 0
-1.5576 0.9956 0 0
-0.8798 -0.6011 1 1
-1.2742 2.1228 0 0
-1.2347 -0.4879 1 1
-0.9138 -0.6581 1 1
0.0780 0.5258 1 1
-0.4880 1.1914 0 0
-0.8140 -0.7360 1 1
-1.4032 0.0360 0 0
-0.0635 0.6756 0 0
-0.0978 1.8446 0 0
-1.1845 1.3835 0 0
1.4451 0.8564 1 1
2.2181 0.5232 1 1
0.3466 -0.1973 0 0
-1.0546 1.2780 0 0
-0.1722 0.5238 0 0
0.0566 0.4263 1 1
0.5750 -0.6417 0 0
-2.2064 -0.7508 1 1
0.0109 -0.3387 0 0
-1.3407 -0.5854 1 1
0.5362 0.5246 1 1
1.1412 0.0516 1 1
0.7440 -0.4816 0 0
-1.0495 0.6039 0 0
-1.7223 -0.8278 1 1
1.3347 0.4835 1 1
-2.5095 0.4880 0 0
0.7846 0.0286 1 1
0.6408 0.5832 1 1
1.0669 -0.4502 0 0
-0.1853 0.7528 0 0
0.4048 0.1785 1 1
0.2649 1.2732 1 1
-0.0013 -0.3036 1 1
-1.4570 -0.1023 1 1
-0.5992 0.4771 0 0
0.7262 0.0912 1 1
-0.3891 0.5279 0 0
-0.0127 0.2408 0 0
0.1325 0.7642 1 1
1.0950 0.3399 1 1
0.7200 0.4114 1 1
1.9312 1.0119 1 1
-1.4364 -1.1299 1 1
-0.1360 1.6354 0 0
0.6547 0.5760 1 1
1.1415 0.0186 1 1
-1.8058 0.9254 0 0
-0.3753 1.0331 0 0
-0.6867 0.6368 0 0
-0.9727 0.9585 0 0
1.6192 1.4506 1 1
0.2695 -0.2104 0 0
-0.7328 0.1043 0 0
0.3488 0.9676 1 1
-0.4657 1.6048 0 0
-2.4801 -0.4175 1 1
-1.1955 0.8123 0 0
-1.9006 0.2286 0 0
0.0249 -0.3460 0 0
0.2868 -0.7308 0 0
0.1748 -1.0939 0 0
-1.6022 1.3529 0 0
1.2888 0.0523 1 1
-1.5469 0.7567 0 0
0.7755 2.0265 1 1
0.0358 0.1206 1 1
-0.8057 -0.2076 1 1
-0.9319 -1.5910 1 1
-1.1360 -0.5226 1 1
-0.5188 -1.5013 1 1
-1.9267 0.1279 0 0
1.0229 -0.5558 0 0
0.7043 0.7099 1 1
1.7744 -0.9216 0 0
0.9624 -0.3370 0 0
-1.1753 0.3581 0 0
0.4788 1.3537 1 1
0.5261 2.1120 1 1
-0.5208 -0.9320 1 1
0.1852 1.0687 1 1
1.3065 0.4598 1 1
-0.8146 -1.0212 1 1
-0.4949 -0.5923 1 1
0.1543 0.4408 1 1
-0.1483 -2.3184 1 1
-0.3980 1.0805 0 0
-1.7809 1.5080 0 0
0.3094 -0.5003 0 0
1.0350 1.6896 1 1
-0.0045 1.6668 0 0
0.1539 -1.0603 0 0
-0.5727 0.0836 0 0
0.3999 1.9892 1 1
-0.0720 -0.9061 1 1
-2.0487 -1.0811 1 1
0.0176 0.0782 1 1
0.1932 0.4097 1 1
-0.9291 0.2762 0 0
-0.5389 0.4626 0 0
