x1 x2 x3 x4 encoded1 encoded2 decoded1 decoded2 decoded3 decoded4
3.8538 1.4873 2.7022 -1.0528 -1.3659 -0.8150 4.0768 1.0439 2.5215 -0.2557
1.3568 -1.2345 -0.1292 -0.8023 0.5928 0.1775 0.9526 -0.0003 -0.2745 0.0849
-1.5043 1.6487 -1.1774 -0.7018 0.2892 3.0149 -1.5917 0.0113 -1.3208 0.0241
-1.4558 -0.5594 -2.3065 0.3812 1.4042 2.9322 -1.4668 0.1364 -2.2171 -0.0086
3.2846 -0.1596 -1.4922 0.2198 2.2325 -0.0885 3.1402 0.0888 -1.5438 -0.0724
-1.5163 1.0783 2.4024 0.8403 -2.8879 3.0152 -1.3936 -0.1303 2.4004 0.0153
2.5582 1.2964 1.8314 0.6674 -1.1431 -0.3981 2.7497 0.4714 1.8898 -0.1096
-0.4632 0.0418 -0.7547 0.4299 0.3101 1.6621 -0.4735 0.0259 -0.6901 0.0267
-2.7693 -0.8712 -0.6701 0.8587 -0.8646 4.3015 -2.6993 -0.0599 -0.5649 0.0315
0.6378 -0.4245 0.9172 -0.3873 -1.0529 0.6227 0.7125 -0.0811 1.0186 0.0350
-3.1151 0.9956 -2.6394 -0.3006 0.8507 4.9098 -3.1281 0.0567 -2.7003 0.0030
-2.5483 2.1228 -3.7040 -0.2440 1.9103 4.6433 -2.8541 0.1773 -3.4619 -0.0276
-1.8276 -0.6581 0.2341 0.2629 -1.2451 3.1710 -1.7856 -0.0949 0.2798 0.0464
-0.9760 1.1914 -2.4420 -0.3680 1.6245 2.5979 -1.1319 0.1450 -2.3073 -0.0211
-2.8065 0.0360 -0.1904 0.3378 -1.1919 4.3795 -2.7755 -0.0720 -0.1811 0.0324
-0.1956 1.8446 -3.5536 0.6918 2.6848 2.5314 -0.4195 0.0312 -3.3718 -0.1094
2.8903 0.8564 6.6542 0.2616 -5.1727 1.0670 3.0824 -0.0368 6.6896 -0.1005
0.6933 -0.1973 -3.1638 0.6390 2.7823 1.7818 0.7075 -0.1399 -3.0667 -0.0871
-0.3444 0.5238 0.1699 0.2131 -0.6697 1.5741 -0.4506 -0.0826 0.1744 0.0558
1.1500 -0.6417 -6.6192 -0.3754 5.6053 3.3344 1.1451 -0.4431 -6.4685 -0.2949
0.0217 -0.3387 -4.0220 -0.2927 3.2838 2.5836 0.0571 -0.0886 -3.9477 -0.1433
1.0724 0.5246 3.4236 0.0258 -2.9981 1.2584 1.2167 -0.0794 3.4400 -0.0191
1.4879 -0.4816 -3.1484 0.3019 3.0315 1.3496 1.5341 -0.2806 -3.0675 -0.0845
-3.4446 -0.8278 4.0041 0.2418 -4.8214 5.3155 -3.2922 -0.1614 4.0523 -0.0142
-5.0191 0.4880 2.3538 0.0143 -3.8794 6.9201 -4.9600 -0.1392 2.3503 0.0187
1.2815 0.5832 3.2008 -0.2251 -2.7417 0.9719 1.4418 -0.0758 3.2117 -0.0149
-0.3705 0.7528 1.2143 0.0892 -1.5597 1.5600 -0.2692 -0.1125 1.2031 0.0378
0.5298 1.2732 -0.0039 -0.1518 0.1251 0.4801 0.4932 0.0160 0.0316 0.0350
-2.9141 -0.1023 -1.7975 0.2385 0.0128 4.5954 -2.9080 -0.0187 -1.7579 0.0233
1.4524 0.0912 -1.1672 0.2640 1.4803 0.3595 1.4832 -0.1414 -1.1261 0.0347
-0.0254 0.2408 0.3976 0.3821 -0.8083 1.1402 -0.0994 -0.0941 0.4988 0.0609
2.1900 0.3399 2.1599 0.2057 -1.6544 -0.1057 2.2386 -0.0394 2.1883 -0.0038
