x1 x2 x3 true_value predicted_value
0.5585 0.3491 0.8484 1.3483 1.0885
2.0355 0.3772 0.4843 3.0410 3.4146
-0.0304 1.0925 -0.5064 -2.8366 -1.8520
-0.8442 -0.2214 2.2746 -0.3411 -0.4167
-0.7832 -0.2678 1.5685 0.0033 -0.4888
-0.2835 -0.0960 1.0644 0.4296 0.2314
1.4888 0.8826 -0.2384 2.2120 1.0034
0.5469 -0.0606 -0.5305 0.4522 0.5558
-2.0364 0.5247 -0.6970 -6.0535 -5.3955
-0.0879 -0.2743 1.2923 1.0076 0.9729
-1.4459 -0.3147 0.1126 -3.7499 -2.4823
-1.4679 -1.7168 -0.5502 -0.1858 -0.3014
0.5351 -1.3392 1.2358 3.4381 3.5529
-2.0371 1.4171 0.1687 -6.2877 -6.5377
-1.1421 0.6070 -0.8332 -3.3807 -3.6963
-0.4792 0.2998 0.7214 -0.5593 -1.1172
-0.6184 0.5457 -0.7691 -2.2154 -2.4383
0.0793 -0.7585 0.9420 1.7934 1.9223
0.4340 1.1234 0.5058 -0.4447 -0.5866
-1.1371 -0.7582 0.0423 -1.6245 -1.0323
-0.6901 -0.5622 0.8253 -2.8071 -0.1253
2.2683 -1.7733 -0.9907 6.7823 5.8388
0.6349 1.0238 0.9575 1.6068 0.3964
0.0191 -1.0700 -0.7519 1.9840 1.1600
2.4401 -1.9129 0.3108 7.7412 7.1837
-1.4763 -0.4783 -0.1173 -1.1889 -2.3006
-0.6305 -1.2655 -0.2949 0.2670 0.4936
-0.2799 1.0837 0.1730 -2.3014 -2.4308
0.5124 -0.9819 1.1259 2.3993 3.1398
0.2554 -0.4589 -0.9284 0.6094 0.4411
-0.1718 -0.6867 -0.1327 0.8386 0.4871
1.6296 -1.5457 -0.1696 5.9950 4.8045
0.0278 0.0911 0.6719 2.0628 0.3478
0.9852 -0.7610 -1.2726 2.0233 2.5103
-0.6267 1.3713 0.2360 -3.0928 -3.5896
-0.4466 -1.1778 1.4125 0.9251 1.3854
-0.0232 -0.0111 -0.9953 -1.1106 -0.7066
-0.2994 0.7670 -0.9372 -2.8847 -2.0849
-2.3305 -0.7809 0.8250 -3.3317 -3.1676
1.2207 -0.0630 1.1464 2.2354 3.1361
1.2215 -0.3137 -0.7234 3.3993 2.5676
-0.3627 0.4425 0.1942 -1.4097 -1.4844
-0.5000 -0.5501 0.0239 -0.5337 -0.2103
-1.5204 0.5294 -0.3908 -4.4817 -4.4877
-1.9291 0.0350 -0.4834 -4.4110 -4.4240
-1.2261 -0.3396 0.0073 -2.2690 -2.0785
-0.0522 1.1675 1.7302 -0.6559 -1.3265
2.0562 -0.2347 -1.3456 4.3873 3.2630
-0.5166 -0.6882 0.4755 0.3057 0.3202
-1.4316 0.1428 0.6329 -2.5405 -2.7022
-1.0489 -0.5225 -1.1338 -2.0870 -2.2224
-0.1413 -0.6456 0.4101 -0.0864 1.0475
0.3267 -0.8344 -0.4922 2.2979 1.5379
0.6580 0.5362 1.2350 0.1559 1.3280
-0.2121 1.3873 -0.8248 -3.4145 -2.7898
0.3545 -0.2807 -0.2433 1.6600 0.7536
-0.2937 -0.6287 -0.0423 0.9088 0.2587
-0.2700 1.4388 0.0326 -2.3286 -3.0500
-0.5480 -0.4937 2.8819 1.5550 0.7442
-1.1672 1.9413 -1.1636 -7.8544 -5.5823
-1.5967 0.0832 -0.9222 -3.4336 -3.9956
-0.3711 -0.9714 0.1528 1.1841 0.9031
0.7251 -1.3895 1.1874 2.8691 3.8758
0.0276 2.0011 -0.1246 -3.4343 -3.4561
-1.1565 0.9010 -0.1884 -4.6134 -4.2716
-1.2726 0.5765 -0.3559 -4.5090 -4.0673
-0.5189 -0.3927 1.7512 -0.8389 0.3273
0.1959 1.7758 -0.1852 -2.7005 -2.5972
1.0595 1.2978 0.3286 0.8511 0.2338
0.1487 0.2704 -1.1818 -0.8877 -0.6764
-1.0340 -0.4947 -0.8951 -1.4579 -1.9821
0.5340 -0.8866 0.7964 2.8248 2.9615
0.6588 -0.2967 0.2332 2.4268 1.9501
-1.3473 -0.8231 -0.5395 -1.9461 -1.5546
0.0922 0.8539 -1.0332 -1.1575 -1.3079
0.5838 1.0166 -0.7942 -1.8380 -0.7677
0.3674 0.4293 2.0289 0.2002 1.2470
-0.7684 -1.2263 -0.1133 0.8616 0.2551
0.3085 -0.4411 -0.7797 0.9399 0.6009
-0.7566 1.5148 -1.5796 -3.8775 -4.3996
0.6386 -0.4361 -1.0023 0.8934 1.1485
0.3780 0.0428 0.5859 1.7141 1.0255
-1.3688 1.1169 0.2769 -4.6901 -4.6863
1.0580 -0.0515 0.1713 1.5854 2.1288
-0.2117 -0.1788 -0.8498 -1.2490 -0.8609
1.1670 -0.3485 0.0742 2.3492 3.0883
1.7575 -0.6254 0.2094 5.0434 5.0502
1.5050 -1.1346 -0.7112 4.0513 3.9993
1.3401 1.5109 -1.1985 -0.8731 -0.0768
0.3767 -0.2511 -0.5277 0.2317 0.5552
-0.4770 -0.5625 -1.0563 0.2434 -0.8372
0.2413 0.1828 0.6247 0.7632 0.5515
-0.7940 -0.6748 -0.3877 -2.1726 -0.7056
0.4497 0.3726 -1.9105 -0.6110 -0.3020
0.2609 1.4178 -1.2983 -1.9318 -1.9010
-0.4608 -0.1727 0.6042 0.4649 -0.2110
-0.1098 0.0965 -1.4932 -1.8183 -0.9519
0.5238 -1.8759 -1.0305 2.9121 3.4398
1.3371 -0.2887 -1.5334 1.3222 1.5640
-0.1797 -0.6578 -1.2317 -0.4013 -0.1443
