true_value predicted_value
-0.6196 -0.5706
-0.7326 -0.5228
-0.6627 -0.5883
-0.8252 -0.5767
-0.7684 -0.6746
-0.8273 -0.6642
-0.6706 -0.7033
-0.7149 -0.6332
-0.9340 -0.6449
-0.7976 -0.7319
-0.8506 -0.6757
-0.8653 -0.7109
-0.8785 -0.7254
-0.8985 -0.7392
-0.9392 -0.7577
-1.0407 -0.7820
-0.9248 -0.8370
-1.1391 -0.7922
-1.1550 -0.8998
-1.1456 -0.9159
-0.9564 -0.9305
-1.0124 -0.8587
-0.9201 -0.8850
-1.1549 -0.8228
-1.0009 -0.9139
-0.9116 -0.8349
-0.9707 -0.8035
-0.8337 -0.8214
-0.9277 -0.7474
-1.1365 -0.7801
-0.9216 -0.8673
-1.0444 -0.7774
-0.8253 -0.8531
-1.1263 -0.7521
-0.8485 -0.8940
-0.8352 -0.7590
-0.8731 -0.7551
-0.6015 -0.7508
-0.7392 -0.5976
-0.5970 -0.6249
-0.4927 -0.5272
-0.5824 -0.4403
-0.5248 -0.4441
-0.6452 -0.3953
-0.6519 -0.4550
-0.4325 -0.4775
-0.4928 -0.3966
-0.4056 -0.4273
-0.4794 -0.3703
-0.2859 -0.3845
-0.4258 -0.2727
-0.1832 -0.2941
-0.2748 -0.1726
-0.2274 -0.1728
-0.2444 -0.1435
-0.1078 -0.1433
-0.2966 -0.0703
-0.0554 -0.1375
