x1 x2 true_label pred_label
1.9269 1.4873 0 0
0.9007 -2.1055 1 1
0.6784 -1.2345 1 1
-0.0431 -1.6047 0 0
-0.7521 1.6487 1 1
-0.3925 -1.4036 0 0
-0.7279 -0.5594 0 0
-0.7688 0.7624 1 1
1.6423 -0.1596 1 1
-0.4974 0.4396 1 1
-0.7581 1.0783 1 1
0.8008 1.6806 0 0
1.2791 1.2964 0 0
0.6105 1.3347 0 0
-0.2316 0.0418 1 1
-0.2516 0.8599 1 1
-1.3847 -0.8712 0 0
-0.2234 1.7174 1 1
0.3189 -0.4245 1 1
0.3057 -0.7746 1 1
-1.5576 0.9956 1 1
-0.8798 -0.6011 0 0
-1.2742 2.1228 1 1
-1.2347 -0.4879 0 0
-0.9138 -0.6581 0 0
0.0780 0.5258 0 0
-0.4880 1.1914 1 1
-0.8140 -0.7360 0 0
-1.4032 0.0360 1 1
-0.0635 0.6756 1 1
-0.0978 1.8446 1 1
-1.1845 1.3835 1 1
1.4451 0.8564 0 0
2.2181 0.5232 0 0
0.3466 -0.1973 1 1
-1.0546 1.2780 1 1
-0.1722 0.5238 1 1
0.0566 0.4263 0 0
0.5750 -0.6417 1 1
-2.2064 -0.7508 0 0
0.0109 -0.3387 1 1
-1.3407 -0.5854 0 0
0.5362 0.5246 0 0
1.1412 0.0516 0 0
0.7440 -0.4816 1 1
-1.0495 0.6039 1 1
-1.7223 -0.8278 0 0
1.3347 0.4835 0 0
-2.5095 0.4880 1 1
0.7846 0.0286 0 0
0.6408 0.5832 0 0
1.0669 -0.4502 1 1
-0.1853 0.7528 1 1
0.4048 0.1785 0 0
0.2649 1.2732 0 0
-0.0013 -0.3036 0 0
-1.4570 -0.1023 0 0
-0.5992 0.4771 1 1
0.7262 0.0912 0 0
-0.3891 0.5279 1 1
-0.0127 0.2408 1 1
0.1325 0.7642 0 0
1.0950 0.3399 0 0
0.7200 0.4114 0 0
1.9312 1.0119 0 0
-1.4364 -1.1299 0 0
-0.1360 1.6354 1 1
0.6547 0.5760 0 0
1.1415 0.0186 0 0
-1.8058 0.9254 1 1
-0.3753 1.0331 1 1
-0.6867 0.6368 1 1
-0.9727 0.9585 1 1
1.6192 1.4506 0 0
0.2695 -0.2104 1 1
-0.7328 0.1043 1 1
0.3488 0.9676 0 0
-0.4657 1.6048 1 1
-2.4801 -0.4175 0 0
-1.1955 0.8123 1 1
-1.9006 0.2286 1 1
0.0249 -0.3460 1 1
0.2868 -0.7308 1 1
0.1748 -1.0939 1 1
-1.6022 1.3529 1 1
1.2888 0.0523 0 0
-1.5469 0.7567 1 1
0.7755 2.0265 0 0
0.0358 0.1206 0 0
-0.8057 -0.2076 0 0
